timestamp,household_id,household_size,smart_meter,tariff_per_kwh_usd,appliance,power_watts,voltage_v,current_a,duration_minutes,energy_kwh,cost_usd,room_temp_c,outside_temp_c,occupancy_count,day_of_week,is_weekend,season,holiday_flag,date,daily_cumulative_kwh
01-01-2024 02:00,H0126,5,1,0.15,microwave,1232.5,229.3,5.37,73,1.4995,0.2249,25.7,34.8,3,Monday,0,winter,0,01-01-2024,5.7018
02-01-2024 10:00,H0094,4,1,0.12,computer,182.4,232.4,0.78,37,0.1125,0.0135,12.4,19.6,1,Tuesday,0,winter,0,02-01-2024,3.1021
02-01-2024 07:00,H0035,5,1,0.15,ac,215.6,227.9,0.95,20,0.0719,0.0108,14.3,23.2,0,Tuesday,0,winter,0,02-01-2024,0.6659
02-01-2024 18:00,H0095,4,0,0.15,phone_charger,10.6,232.1,0.05,51,0.009,0.0013,37,18,2,Tuesday,0,winter,0,02-01-2024,4.6829
01-01-2024 21:00,H0091,5,0,0.15,ac,210.1,228.9,0.92,53,0.1856,0.0278,16.9,9.2,5,Monday,0,winter,0,01-01-2024,6.5977
02-01-2024 16:00,H0127,1,0,0.15,tv,157.3,229.7,0.68,36,0.0944,0.0142,16.8,14.8,1,Tuesday,0,winter,0,02-01-2024,2.9366
02-01-2024 02:00,H0012,4,1,0.15,fridge,158.2,226.9,0.7,56,0.1476,0.0221,23.6,26.2,0,Tuesday,0,winter,0,02-01-2024,0.4148
01-01-2024 02:00,H0105,2,1,0.12,phone_charger,6.6,233.9,0.03,50,0.0055,0.0007,24.8,28.7,2,Monday,0,winter,0,01-01-2024,0.018
01-01-2024 13:00,H0128,3,0,0.12,heater,311.9,237.1,1.32,21,0.1092,0.0131,4.3,11.7,0,Monday,0,winter,0,01-01-2024,7.4433
02-01-2024 15:00,H0009,5,1,0.08,heater,366.4,225.2,1.63,46,0.2809,0.0225,25,22.3,2,Tuesday,0,winter,0,02-01-2024,5.0931
01-01-2024 00:00,H0056,4,1,0.2,ac,179.4,233.2,0.77,27,0.0807,0.0161,27.5,23.6,0,Monday,0,winter,0,01-01-2024,0.0807
